satellite_id,mean_diff_accel_mps2,peak_diff_accel_mps2,delta_v_per_burn_mps,annual_delta_v_mps
SAT-1,0.005566028051927493,0.005566028051930849,0.1781128976616798,9.293676552989792
SAT-2,0.005566028051927837,0.005566028051933586,0.17811289766169078,9.293676552990366
SAT-3,0.008406900425131324,0.008406900425136365,0.2690208136042024,14.037121738419275
