sample_id,satellite_id,position_error_m,velocity_error_mps,delta_v_mps,success
0,SAT-1,145.19530991373014,0.005889662822599482,0.0126116679111981,True
0,SAT-2,344.5590339437897,0.0010839899442628077,0.017035797071290108,True
0,SAT-3,275.49534068434406,0.006868411007265365,0.01962282492783685,True
1,SAT-1,481.9827183168427,0.006780083822530222,0.029094098559421085,True
1,SAT-2,659.0223787011039,0.0019846816728505278,0.03249497698308682,True
1,SAT-3,332.01277350524776,0.006137086776470993,0.021508048512825055,True
2,SAT-1,498.7324880821192,0.007284760394519095,0.030374227435357948,True
2,SAT-2,377.96154408385803,0.00798203089376818,0.025480250527280125,True
2,SAT-3,247.29739766859927,0.008606716778552622,0.020055670374321106,True
3,SAT-1,347.5491348579514,0.0018216081719795514,0.017911845896884708,True
3,SAT-2,739.3683066100975,0.010746858309201716,0.04497687250411364,True
3,SAT-3,462.27733357194893,0.008075341629469145,0.02947707003557789,True
4,SAT-1,235.46688021190337,0.010236891251904962,0.021138135706159748,True
4,SAT-2,307.9737582721444,0.00921705622396769,0.02347510058841882,True
4,SAT-3,189.5211671182464,0.009495649705018892,0.018269777812345116,True
5,SAT-1,202.02658099753793,0.006348852057785905,0.015701934511375623,True
5,SAT-2,248.6642286396829,0.0028231830959198727,0.014335415903312599,True
5,SAT-3,287.2386355867147,0.0028051856045787815,0.016103270585445202,True
6,SAT-1,368.1031241353549,0.004986837255992721,0.022028648558555446,True
6,SAT-2,379.53641327639883,0.010350873417916219,0.027922003662193943,True
6,SAT-3,451.86515424012896,0.006141413164199661,0.0270610962308723,True
7,SAT-1,244.55560249786785,0.006438785964437968,0.017760804598598516,True
7,SAT-2,536.5264861877004,0.004732085742015947,0.029571274917372443,True
7,SAT-3,216.13653285215673,0.012871755043796458,0.022878076009174082,True
8,SAT-1,412.16479770791943,0.008912809406863913,0.027994513004452777,True
8,SAT-2,423.21494661518466,0.00863481878230377,0.028228103347821578,True
8,SAT-3,662.9845390535799,0.010031376250152312,0.04072510491004027,True
9,SAT-1,365.44733041677125,0.005853977339704456,0.022772835229369792,True
9,SAT-2,336.1510436480082,0.0036911991212563175,0.019253747438293736,True
9,SAT-3,496.72566150248684,0.009232607780432332,0.03222916618332524,True
10,SAT-1,381.163756645119,0.01567645206074726,0.03332292227579907,True
10,SAT-2,223.83043621589428,0.009584437235795896,0.019946957430976187,True
10,SAT-3,223.78182400291672,0.007657384375550756,0.01801765400531542,True
11,SAT-1,615.3227627748148,0.00567522721120695,0.03416239215448542,True
11,SAT-2,349.38569128213845,0.0037060629435117926,0.01988132642879598,True
11,SAT-3,493.4086540447322,0.009585886202709294,0.03242887944552097,True
12,SAT-1,561.2040816406841,0.005335285259787929,0.031316955706115895,True
12,SAT-2,539.7485413317568,0.011197584805742988,0.03618594320073173,True
12,SAT-3,309.0705481773439,0.014633363368528267,0.0289421850434053,True
13,SAT-1,321.85581967878124,0.009518705301228223,0.024419437693764392,True
13,SAT-2,477.8078754169413,0.008668047750933926,0.030788782723940464,True
13,SAT-3,511.72863896521454,0.005945775143781903,0.029636915836615912,True
14,SAT-1,265.0045904097163,0.009447524308196006,0.02171625534568287,True
14,SAT-2,320.83199503431035,0.006036021531877882,0.020889354635318175,True
14,SAT-3,548.7259200484797,0.007819619539206058,0.03322359731922826,True
15,SAT-1,829.0933514944649,0.009559014647356935,0.04794296610543401,True
15,SAT-2,339.9158092418946,0.008311052548105895,0.02404789556856398,True
15,SAT-3,562.6559504167819,0.0042709392133696905,0.030319825806739226,True
16,SAT-1,57.70250406613064,0.009401259559537216,0.012072671784821042,True
