time_utc,max_ground_distance_km,min_command_distance_km
2026-03-14T09:38:10Z,4504.18785,4499.37847
2026-03-14T09:39:10Z,4878.47427,4873.59291
2026-03-14T09:40:10Z,5256.67401,5251.73628
2026-03-14T09:41:10Z,5637.83965,5632.85726
2026-03-14T09:42:10Z,6021.25718,6016.2391
2026-03-14T09:43:10Z,6406.37792,6401.33113
2026-03-14T09:44:10Z,6792.77136,6787.70138
2026-03-14T09:45:10Z,7180.09184,7175.00317
2026-03-14T09:46:10Z,7568.05439,7562.95077
2026-03-14T09:47:10Z,7956.41686,7951.30148
2026-03-14T09:48:10Z,8344.96614,8339.84182
2026-03-14T09:49:10Z,8733.50732,8728.37666
2026-03-14T09:50:10Z,9121.85488,9116.72032
2026-03-14T09:51:10Z,9509.82496,9504.68895
2026-03-14T09:52:10Z,9897.22859,9892.09363
2026-03-14T09:53:10Z,10283.8652,10278.7339
2026-03-14T09:54:10Z,10669.516,10664.3914
2026-03-14T09:55:10Z,11053.9375,11048.8227
2026-03-14T09:56:10Z,11436.8536,11431.7522
2026-03-14T09:57:10Z,11817.947,11812.8633
2026-03-14T09:58:10Z,12196.8495,12191.7883
2026-03-14T09:59:10Z,12573.1287,12568.0959
2026-03-14T10:00:10Z,12946.2733,12941.2758
2026-03-14T10:01:10Z,13315.6732,13310.7192
2026-03-14T10:02:10Z,13680.5946,13675.6941
2026-03-14T10:03:10Z,14040.148,14035.3132
2026-03-14T10:04:10Z,14393.335,14388.493
2026-03-14T10:05:10Z,14738.8311,14733.8998
2026-03-14T10:06:10Z,15074.9092,15069.8822
2026-03-14T10:07:10Z,15399.5122,15394.3846
2026-03-14T10:08:10Z,15710.072,15704.8415
2026-03-14T10:09:10Z,16003.3874,15998.0565
2026-03-14T10:10:10Z,16275.4988,16270.0775
2026-03-14T10:11:10Z,16521.5922,16516.102
2026-03-14T10:12:10Z,16735.9971,16730.475
2026-03-14T10:13:10Z,16912.3787,16906.8815
2026-03-14T10:14:10Z,17044.2439,17038.8488
2026-03-14T10:15:10Z,17125.8122,17120.6123
2026-03-14T10:16:10Z,17153.1192,17148.2118
2026-03-14T10:17:10Z,17124.9672,17119.9951
2026-03-14T10:18:10Z,17043.2622,17038.0325
2026-03-14T10:19:10Z,16912.549,16907.1568
2026-03-14T10:20:10Z,16738.9928,16733.5189
2026-03-14T10:21:10Z,16529.2825,16523.788
2026-03-14T10:22:10Z,16289.8073,16284.3344
2026-03-14T10:23:10Z,16026.2062,16020.7812
2026-03-14T10:24:10Z,15743.2178,15737.8551
2026-03-14T10:25:10Z,15444.7089,15439.4151
2026-03-14T10:26:10Z,15133.7855,15128.5614
2026-03-14T10:27:10Z,14812.9248,14807.7683
2026-03-14T10:28:10Z,14484.1018,14479.0084
2026-03-14T10:29:10Z,14148.8961,14143.8602
2026-03-14T10:30:10Z,13808.5799,13803.5955
2026-03-14T10:31:10Z,13464.1873,13459.2482
2026-03-14T10:32:10Z,13116.5689,13111.6686
2026-03-14T10:33:10Z,12766.434,12761.5663
2026-03-14T10:34:10Z,12414.3842,12409.5431
2026-03-14T10:35:10Z,12060.9396,12056.1191
2026-03-14T10:36:10Z,11706.5601,11701.7546
2026-03-14T10:37:10Z,11351.6624,11346.8664
2026-03-14T10:38:10Z,10996.6347,10991.8429
2026-03-14T10:39:10Z,10641.8484,10637.0556
2026-03-14T10:40:10Z,10287.6695,10282.8705
2026-03-14T10:41:10Z,9934.46804,9929.65798
2026-03-14T10:42:10Z,9582.62769,9577.80167
2026-03-14T10:43:10Z,9232.55507,9227.70825
