sample_id,satellite_id,position_error_m,velocity_error_mps,delta_v_mps,success
0,SAT-1,262.5670169332857,0.013134889636934648,0.02529077005051269,True
0,SAT-2,337.60506541688693,0.014603102920815026,0.03023296706048572,True
0,SAT-3,221.44970202151484,0.01005618934653594,0.020308490366050515,True
1,SAT-1,320.6016408331759,0.006212079658806077,0.021054748215897555,True
1,SAT-2,450.4056986494687,0.009960930333321046,0.03081304601153719,True
1,SAT-3,233.44225092413555,0.0014403363709981725,0.0122478479878563,True
2,SAT-1,31.978528259029545,0.0069209341665682775,0.008401421585967794,True
2,SAT-2,289.45303560647613,0.006405627380775602,0.019806230881075422,True
2,SAT-3,381.7551661634904,0.013361340214926585,0.03103519050027336,True
3,SAT-1,438.1699063317345,0.009368145881751683,0.029653789693406058,True
3,SAT-2,394.1299920179672,0.011940950101746048,0.030187708991466753,True
3,SAT-3,402.95444510881885,0.01036591474803886,0.0290212131327064,True
4,SAT-1,612.7329995666031,0.006537360488685575,0.034904628987139426,True
4,SAT-2,413.00371609779984,0.01018538433559711,0.02930592674753229,True
4,SAT-3,412.794864573698,0.005842769215548738,0.024953642575442164,True
5,SAT-1,523.6896023729109,0.009471629937037493,0.03371651893578337,True
5,SAT-2,354.5506096493051,0.00548422396735049,0.02189860404370721,True
5,SAT-3,442.3760405673787,0.006223654245843213,0.02670402649433297,True
6,SAT-1,162.2586215035231,0.011143063618751316,0.018655036836507016,True
6,SAT-2,457.22818286143394,0.012665481575462227,0.033833453004232315,True
6,SAT-3,513.6654878739034,0.006931516635123612,0.03071232625891544,True
7,SAT-1,478.1265547309848,0.008160161876797,0.030295650521750005,True
7,SAT-2,637.628788358097,0.006929261342319735,0.0364491126551946,True
7,SAT-3,320.60353852875244,0.010452347369592855,0.025295103782961022,True
8,SAT-1,534.8454399507473,0.01095271321453381,0.035714076175216554,True
8,SAT-2,41.90487247903171,0.010722393153197613,0.012662433545745377,True
8,SAT-3,602.774122206058,0.0032518503593223433,0.031158059720713917,True
9,SAT-1,416.0195834719492,0.007525097931467941,0.02678526383294707,True
9,SAT-2,481.33423744802434,0.0029826896903082704,0.02526668216475384,True
9,SAT-3,533.2571910770449,0.011826150640964811,0.03651398356119837,True
10,SAT-1,917.6230684794481,0.005642502482264452,0.04812505194890557,True
10,SAT-2,564.0357496482274,0.0059317161515276265,0.03204448233894556,True
10,SAT-3,298.3836800693836,0.012783626814061281,0.026597686076532744,True
11,SAT-1,386.55674188557555,0.01094698440642617,0.028843129864091707,True
11,SAT-2,459.57189442157323,0.0074800842735105975,0.02875656086710195,True
11,SAT-3,409.9484502674069,0.012581968739555967,0.03156106365934332,True
12,SAT-1,148.9671883248859,0.00972882779623165,0.016625456885346737,True
12,SAT-2,532.5699511412308,0.011982503775485374,0.036638520032023836,True
12,SAT-3,205.51449390611754,0.008018798258055116,0.017533358161116112,True
13,SAT-1,175.13903033539663,0.01074911667397968,0.018857405115433226,True
13,SAT-2,163.07518228324324,0.008562434399700577,0.016112211357258134,True
13,SAT-3,364.15576855075403,0.010363728137955528,0.027222791496786733,True
14,SAT-1,757.5751628211694,0.014753819004548474,0.04982674320923224,True
14,SAT-2,360.92279724314375,0.008932384402897234,0.025641773164153888,True
14,SAT-3,154.97107124833533,0.004943597565471787,0.012118184197339163,True
15,SAT-1,485.07083632791273,0.005660714349741637,0.02811769751307093,True
15,SAT-2,510.4713739531101,0.002260036757575817,0.025892970736886473,True
15,SAT-3,485.64073411116533,0.00867989243976772,0.031163259759729077,True
16,SAT-1,586.1149702864749,0.007648772318338498,0.03478372464641604,True
16,SAT-2,357.10705255955133,0.0033795298259624742,0.019912263740756518,True
16,SAT-3,449.5989368562362,0.00846876092687105,0.02928352652206717,True
17,SAT-1,128.64115080178078,0.002955398894753383,0.008911007728169159,True
17,SAT-2,376.1385252497757,0.006250090110657554,0.023663910724073096,True
17,SAT-3,323.78380450975055,0.006605095317038803,0.02159508626656429,True
18,SAT-1,404.5326666354822,0.019279109953284794,0.03800747414937193,True
18,SAT-2,179.52346644813616,0.007651760558227817,0.015963032153048937,True
18,SAT-3,449.31230605463446,0.009006693907292111,0.029808189557969635,True
19,SAT-1,616.5588700759209,0.004290494256334227,0.032834886389478714,True
19,SAT-2,90.41421188964645,0.011747986204346602,0.01593382934738579,True
19,SAT-3,684.9093059723738,0.010215809226184265,0.04192457339157194,True
20,SAT-1,805.1525369800688,0.007378049480901948,0.044653629896645876,True
20,SAT-2,473.53616606031454,0.006873566833355271,0.02879653748429576,True
20,SAT-3,382.74668215103037,0.008326958778979248,0.026046712582267692,True
21,SAT-1,201.02572930467488,0.011144826009836512,0.020451572736904795,True
21,SAT-2,583.6622312961655,0.00879343604631243,0.03581483564335713,True
21,SAT-3,448.0791336240815,0.014768651596077199,0.03551305593052542,True
22,SAT-1,307.00749707210997,0.005900978023424409,0.02011428807305913,True
22,SAT-2,564.696210955911,0.0063075914240525895,0.03245093452386329,True
22,SAT-3,317.14348616486456,0.005030650675063218,0.019713219478992135,True
23,SAT-1,797.9448443957479,0.0075286856844983775,0.04447057662874596,True
23,SAT-2,433.35470579021955,0.007866281465247517,0.02792899932590583,True
23,SAT-3,280.1263491511183,0.01302379753238817,0.02599260999308809,True
24,SAT-1,530.0244363454062,0.004582967653627963,0.029121136002952325,True
24,SAT-2,369.3050596782573,0.003477159139330244,0.02057461560591623,True
24,SAT-3,428.6464294680955,0.011144781583795274,0.030989523688799696,True
25,SAT-1,407.6895302250122,0.009945942845478709,0.028820458133673718,True
