time_utc,max_ground_distance_km,min_command_distance_km
2026-03-21T07:38:40Z,628.021211,393.752388
2026-03-21T07:38:41Z,620.900657,395.031382
2026-03-21T07:38:42Z,613.780254,396.433546
2026-03-21T07:38:43Z,606.66,397.95759
2026-03-21T07:38:44Z,599.539904,399.602079
2026-03-21T07:38:45Z,592.419966,401.365543
2026-03-21T07:38:46Z,585.300187,403.246416
2026-03-21T07:38:47Z,578.180571,405.243055
2026-03-21T07:38:48Z,571.061119,407.353754
2026-03-21T07:38:49Z,563.941834,409.576742
2026-03-21T07:38:50Z,556.822719,411.910195
2026-03-21T07:38:51Z,549.703774,414.352258
2026-03-21T07:38:52Z,542.585008,416.900983
2026-03-21T07:38:53Z,535.466422,419.554436
2026-03-21T07:38:54Z,528.348018,422.310639
2026-03-21T07:38:55Z,521.229802,425.167585
2026-03-21T07:38:56Z,514.111775,428.123254
2026-03-21T07:38:57Z,506.993943,431.175608
2026-03-21T07:38:58Z,499.876305,434.32262
2026-03-21T07:38:59Z,492.758874,437.562209
2026-03-21T07:39:00Z,485.641651,440.892345
2026-03-21T07:39:01Z,478.524641,444.310987
2026-03-21T07:39:02Z,471.407849,447.816101
2026-03-21T07:39:03Z,464.29128,451.405668
2026-03-21T07:39:04Z,457.174941,455.077683
2026-03-21T07:39:05Z,450.058838,458.830162
2026-03-21T07:39:06Z,442.942974,462.661156
2026-03-21T07:39:07Z,435.827364,466.568697
2026-03-21T07:39:08Z,428.712011,470.550886
2026-03-21T07:39:09Z,421.596924,474.605838
2026-03-21T07:39:10Z,414.482111,478.731701
2026-03-21T07:39:11Z,407.367581,482.92665
2026-03-21T07:39:12Z,400.253346,487.188896
2026-03-21T07:39:13Z,393.13941,491.516698
2026-03-21T07:39:14Z,386.025794,495.908305
2026-03-21T07:39:15Z,378.912505,500.362046
2026-03-21T07:39:16Z,371.799558,504.876273
2026-03-21T07:39:17Z,364.686966,509.449371
2026-03-21T07:39:18Z,357.574745,514.079766
2026-03-21T07:39:19Z,350.46291,518.765917
2026-03-21T07:39:20Z,343.351481,523.506323
2026-03-21T07:39:21Z,336.240472,528.299531
2026-03-21T07:39:22Z,329.129913,533.144085
2026-03-21T07:39:23Z,322.019823,538.038608
2026-03-21T07:39:24Z,314.910226,542.981743
