sample_id,density_scale,drag_coefficient,ballistic_coefficient_m2_per_kg,semi_major_axis_delta_m,altitude_delta_m,along_track_shift_km,ground_distance_delta_km,command_distance_delta_km,within_tolerance
0,0.9580531768655194,2.25915116241895,0.006666666666666667,-0.021786202676594257,-0.021786202676594257,0.0024639615238000526,0.0003301368055914113,0.0024639615238000526,True
1,0.8774167208939172,2.0286407627854386,0.006666666666666667,-0.01791668590158224,-0.01791668590158224,0.002026329519882794,0.00027150016276957477,0.002026329519882794,True
2,0.6837918396277249,2.2146919305812416,0.006666666666666667,-0.0152434716001153,-0.0152434716001153,0.00172399607164362,0.00023099165731564923,0.00172399607164362,True
3,0.7766056495221438,2.2230785319382207,0.006666666666666667,-0.01737808808684349,-0.01737808808684349,0.0019654155463809356,0.0002633385318213899,0.0019654155463809356,True
4,0.7673163251445217,2.156938747527039,0.006666666666666667,-0.016659381799399853,-0.016659381799399853,0.0018841317560847554,0.0002524476268232643,0.0018841317560847554,True
5,1.225191774916624,2.234808908032001,0.006666666666666667,-0.02756075467914343,-0.02756075467914343,0.0031170479413844196,0.00041764136343203843,0.0031170479413844196,True
6,1.0271336573298102,2.2725531801493224,0.006666666666666667,-0.023495660163462162,-0.023495660163462162,0.0026572966537589,0.00035604104216194703,0.0026572966537589,True
7,1.2804830726260452,2.256810054394336,0.006666666666666667,-0.02908810880035162,-0.02908810880035162,0.0032897875862123805,0.00044078608951304756,0.0032897875862123805,True
8,0.9768940892415994,2.181862644638075,0.006666666666666667,-0.02145465463399887,-0.02145465463399887,0.0024264642478398477,0.0003251126886219265,0.0024264642478398477,True
9,0.48585275976272313,2.2656279507667563,0.006666666666666667,-0.011080003343522549,-0.011080003343522549,0.0012531188744778357,0.00016790061786694878,0.0012531188744778357,True
10,1.3114139496167858,2.2732722441881275,0.006666666666666667,-0.030008058063685894,-0.030008058063685894,0.003393831435479965,0.00045472652799264697,0.003393831435479965,True
11,0.6284844500040414,2.220294025262373,0.006666666666666667,-0.01404596772044897,-0.01404596772044897,0.0015885616032440127,0.00021284530952063162,0.0015885616032440127,True
12,1.1603570018928397,2.2816050417066864,0.006666666666666667,-0.02664886601269245,-0.02664886601269245,0.0030139157717277727,0.0004038230774258322,0.0030139157717277727,True
13,0.9545864230831725,2.1622605594697277,0.006666666666666667,-0.020776381716132164,-0.020776381716132164,0.002349753388434544,0.0003148344931900509,0.002349753388434544,True
14,0.775218164265472,2.204604914174953,0.006666666666666667,-0.017202887684106827,-0.017202887684106827,0.0019456008429913883,0.0002606836352990295,0.0019456008429913883,True
15,0.5648435296721184,2.2162723846765657,0.006666666666666667,-0.012600794434547424,-0.012600794434547424,0.0014251163212210952,0.00019094589965776396,0.0014251163212210952,True
16,0.9219871333659585,2.1750302095190355,0.006666666666666667,-0.020185373723506927,-0.020185373723506927,0.0022829119623028367,0.0003058786654747449,0.0022829119623028367,True
17,1.1739838288607685,2.1539621011015755,0.006666666666666667,-0.025453458540141582,-0.025453458540141582,0.002878718434183413,0.0003857085018895542,0.002878718434183413,True
18,0.9033882863020385,2.215750919763727,0.006666666666666667,-0.02014846820384264,-0.02014846820384264,0.0022787380703436,0.0003053194216127787,0.0022787380703436,True
19,1.2170757380360033,2.3006467867576523,0.006666666666666667,-0.028184750117361546,-0.028184750117361546,0.0031876202126594963,0.0004270970728564909,0.0031876202126594963,True
20,1.4893195505049621,2.200588085157659,0.006666666666666667,-0.03298931382596493,-0.03298931382596493,0.0037310035717523864,0.0004999029363611252,0.0037310035717523864,True
21,0.953668662416538,2.1080607129468705,0.006666666666666667,-0.02023612055927515,-0.02023612055927515,0.00228865130681359,0.00030664765835254214,0.00228865130681359,True
22,0.5122394283435137,2.1288046135784007,0.006666666666666667,-0.010976286605000496,-0.010976286605000496,0.0012413887264527287,0.00016632894007867277,0.0012413887264527287,True
23,0.7492940527845189,2.307809123099747,0.006666666666666667,-0.017405993305146694,-0.017405993305146694,0.0019685715257435864,0.0002637613894574503,0.0019685715257435864,True
24,1.0913648573359713,2.1230104270056183,0.006666666666666667,-0.023322157561779022,-0.023322157561779022,0.0026376739475572866,0.000353411870610409,0.0026376739475572866,True
25,0.766370873687499,2.186643702161175,0.006666666666666667,-0.016868002712726593,-0.016868002712726593,0.00190772612266599,0.00025560894599884474,0.00190772612266599,True
26,1.0148202955747159,2.3127042220989074,0.006666666666666667,-0.02362413238734007,-0.02362413238734007,0.002671826521972245,0.00035798784377848365,0.002671826521972245,True
27,1.2299529237150484,2.1508279671524937,0.006666666666666667,-0.02662813849747181,-0.02662813849747181,0.0030115714819693375,0.0004035089749835843,0.0030115714819693375,True
28,0.7701133258660267,2.250958428077638,0.006666666666666667,-0.017448928207159042,-0.017448928207159042,0.001973427335220524,0.00026441200084638313,0.001973427335220524,True
29,1.1346939248565222,2.124883571237641,0.006666666666666667,-0.024269482120871544,-0.024269482120871544,0.002744813802652272,0.00036776713110085464,0.002744813802652272,True
30,0.7802637749874558,2.063016343546762,0.006666666666666667,-0.016202825121581554,-0.016202825121581554,0.0018324962820808356,0.0002455291866292137,0.0018324962820808356,True
31,1.1404113799830071,2.109595636272271,0.006666666666666667,-0.024216278456151485,-0.024216278456151485,0.0027387965944073813,0.00036696090832125425,0.0027387965944073813,True
32,0.8122056113733974,2.2988809620274644,0.006666666666666667,-0.018794427625834942,-0.018794427625834942,0.002125599741838639,0.0002848010011350656,0.002125599741838639,True
33,0.8032176136218474,2.190239456377031,0.006666666666666667,-0.01770807895809412,-0.01770807895809412,0.0020027365861163948,0.00026833903557138853,0.0020027365861163948,True
34,1.1016120384957289,2.22779861266975,0.006666666666666667,-0.02470308728516102,-0.02470308728516102,0.002793853323206322,0.0003743377493946338,0.002793853323206322,True
35,0.752352005924105,2.197148927890467,0.006666666666666667,-0.016638999804854393,-0.016638999804854393,0.0018818265617025409,0.0002521387626213437,0.0018818265617025409,True
36,0.9961426273819503,2.0329566882129493,0.006666666666666667,-0.020384322851896286,-0.020384322851896286,0.0023054126817890464,0.00030889345104786916,0.0023054126817890464,True
37,0.6642163782779495,2.220917213570636,0.006666666666666667,-0.014848705381155014,-0.014848705381155014,0.0016793490496551117,0.00022500957314912237,0.0016793490496551117,True
38,0.5358199756640396,2.175182207030195,0.006666666666666667,-0.01173170655965805,-0.01173170655965805,0.001326824711797782,0.00017777618185250957,0.001326824711797782,True
39,1.1273677635700539,2.2606745884605215,0.006666666666666667,-0.02565371710807085,-0.02565371710807085,0.002901367040629412,0.00038874310227229376,0.002901367040629412,True
40,1.1906807330981595,2.2172904910423785,0.006666666666666667,-0.02657446637749672,-0.02657446637749672,0.003005501361919456,0.0004026956627530696,0.003005501361919456,True
41,0.8373048741901665,2.0173143230902024,0.006666666666666667,-0.017002149485051632,-0.017002149485051632,0.0019228977895816464,0.0002576417397753105,0.0019228977895816464,True
42,1.2166586045635364,2.2250154588493314,0.006666666666666667,-0.02724886406213045,-0.02724886406213045,0.0030817738823290647,0.0004129151268149919,0.0030817738823290647,True
43,1.1249377452282567,2.1060321894783103,0.006666666666666667,-0.023847349919378757,-0.023847349919378757,0.0026970716959316145,0.0003613703483375208,0.0026970716959316145,True
44,0.7188762172744145,2.2505005274898475,0.006666666666666667,-0.016284704208374023,-0.016284704208374023,0.0018417566667054985,0.0002467699502405785,0.0018417566667054985,True
45,1.0294971409410754,2.258397222747992,0.006666666666666667,-0.023403030820190907,-0.023403030820190907,0.002646820423402541,0.00035463737201893523,0.002646820423402541,True
46,0.7590543274085156,2.1491210179086826,0.006666666666666667,-0.0164202731102705,-0.0164202731102705,0.0018570891159144624,0.00024882428662320724,0.0018570891159144624,True
47,0.8783664183630021,2.4071246448430506,0.006666666666666667,-0.02128241676837206,-0.02128241676837206,0.0024069846184339343,0.00032250268738446614,0.0024069846184339343,True
48,0.977607021875354,2.050515159683378,0.006666666666666667,-0.020177805796265602,-0.020177805796265602,0.00228205606012656,0.00030576398640705436,0.00228205606012656,True
49,0.7932395773333668,2.444349441898221,0.006666666666666667,-0.019517055712640285,-0.019517055712640285,0.002207326988326354,0.00029575132313669505,0.002207326988326354,True
50,0.5422906294169284,2.288781916432689,0.006666666666666667,-0.01249347161501646,-0.01249347161501646,0.0014129784350314194,0.0001893195905881679,0.0014129784350314194,True
51,0.8199481275890079,2.069281480139024,0.006666666666666667,-0.017078612931072712,-0.017078612931072712,0.0019315456458642052,0.0002588004330506561,0.0019315456458642052,True
52,0.9571443700903874,2.1920206089962635,0.006666666666666667,-0.021118775010108948,-0.021118775010108948,0.00238847725623771,0.0003200229565216393,0.00238847725623771,True
