time_utc,triangle_area_m2,triangle_aspect_ratio,side_length_1_m,side_length_2_m,side_length_3_m
2026-03-21T07:38:40Z,15513079.4118088,1.0036518522132,5978.19012796786,5978.29548866971,6000.02159481759
2026-03-21T07:38:41Z,15514741.1538345,1.00357150271439,5978.66829724911,5978.77603078769,6000.0211273012
2026-03-21T07:38:42Z,15516384.3946486,1.00349206020644,5979.14114368501,5979.25124789749,6000.02066454157
2026-03-21T07:38:43Z,15518009.1324125,1.00341352443959,5979.6086662878,5979.72113899003,6000.02020660937
2026-03-21T07:38:44Z,15519615.3645578,1.00333589513808,5980.07086399983,5980.18570296756,6000.0197533204
2026-03-21T07:38:45Z,15521203.0900708,1.00325917209867,5980.52773592886,5980.64493890836,6000.01930506115
2026-03-21T07:38:46Z,15522772.3063357,1.00318335504973,5980.97928099608,5981.09884578275,6000.01886159254
2026-03-21T07:38:47Z,15524323.0110385,1.00310844372832,5981.42549822556,5981.5474225169,6000.01842280196
2026-03-21T07:38:48Z,15525855.202391,1.00303443790089,5981.86638666214,5981.99066816403,6000.01798874388
2026-03-21T07:38:49Z,15527368.8787534,1.0029613373419,5982.3019454016,5982.42858175221,6000.01755954304
2026-03-21T07:38:50Z,15528864.0380748,1.00288914181706,5982.73217345209,5982.86116233786,6000.01713515467
2026-03-21T07:38:51Z,15530340.6782373,1.00281785109124,5983.15706980084,5983.28840902421,6000.01671547905
2026-03-21T07:38:52Z,15531798.7979865,1.00274746495967,5983.57663361909,5983.71032090426,6000.01630075345
2026-03-21T07:38:53Z,15533238.3958541,1.00267798321287,5983.99086406475,5984.12689704066,6000.01589114468
2026-03-21T07:38:54Z,15534659.468792,1.00260940555957,5984.39976016929,5984.53813636124,6000.01548617418
2026-03-21T07:38:55Z,15536062.0154793,1.00254173181816,5984.8033210079,5984.94403809093,6000.01508603431
2026-03-21T07:38:56Z,15537446.034525,1.00247496178699,5985.20154577229,5985.34460133902,6000.01469088548
2026-03-21T07:38:57Z,15538811.5238473,1.00240909523354,5985.59443357935,5985.73982518802,6000.01430059918
2026-03-21T07:38:58Z,15540158.4819192,1.00234413196533,5985.98198354709,5986.12970883885,6000.01391525858
2026-03-21T07:38:59Z,15541486.9068304,1.00228007177933,5986.36419472238,5986.51425151462,6000.01353478358
2026-03-21T07:39:00Z,15542796.7968066,1.00221691444842,5986.7410663892,5986.8934522259,6000.01315915823
2026-03-21T07:39:01Z,15544088.1505196,1.00215465975987,5987.11259792993,5987.26730999715,6000.01278852251
2026-03-21T07:39:02Z,15545360.9668756,1.00209330759016,5987.47878828441,5987.63582437944,6000.01242307782
2026-03-21T07:39:03Z,15546615.243695,1.00203285768561,5987.83963678847,5987.99899431979,6000.01206261433
2026-03-21T07:39:04Z,15547850.9793299,1.0019733098692,5988.1951425657,5988.35681907848,6000.01170713924
2026-03-21T07:39:05Z,15549068.1727445,1.00191466396958,5988.54530492668,5988.70929790036,6000.01135685222
2026-03-21T07:39:06Z,15550266.8229019,1.00185691983003,5988.8901231205,5989.05643010397,6000.01101194997
2026-03-21T07:39:07Z,15551446.9254918,1.00180007709857,5989.22959635765,5989.39821439777,6000.01067139215
2026-03-21T07:39:08Z,15552608.4819971,1.00174413579665,5989.5637238224,5989.73465069978,6000.01033631946
2026-03-21T07:39:09Z,15553751.4888869,1.00168909563439,5989.89250467531,5990.06573797545,6000.01000595544
2026-03-21T07:39:10Z,15554875.9452697,1.00163495648733,5990.21593811928,5990.39147568196,6000.00968052783
2026-03-21T07:39:11Z,15555981.8484683,1.00158171809493,5990.5340235052,5990.71186280013,6000.00935956847
2026-03-21T07:39:12Z,15557069.1995061,1.00152938038927,5990.84676048412,5991.02689873732,6000.00904403473
2026-03-21T07:39:13Z,15558137.996149,1.00147794313314,5991.15414845814,5991.3365825661,6000.00873359143
2026-03-21T07:39:14Z,15559188.2391067,1.00142740627177,5991.45618693024,5991.6409138068,6000.0084290685
2026-03-21T07:39:15Z,15560219.9231294,1.00137776955357,5991.75287428244,5991.93989199218,6000.00812896516
2026-03-21T07:39:16Z,15561233.0492116,1.00132903282619,5992.04421073437,5992.233516035,6000.00783418642
2026-03-21T07:39:17Z,15562227.6157647,1.00128119606011,5992.33019479094,5992.52178608783,6000.00754462738
2026-03-21T07:39:18Z,15563203.6198376,1.0012342589161,5992.61082630853,5992.80470070442,6000.00725965162
