sample_id,satellite_id,position_error_m,velocity_error_mps,delta_v_mps,success
0,SAT-1,547.4708178968051,0.006473223682229356,0.031819094881155516,True
0,SAT-2,652.7819151276958,0.0053681293806579645,0.03558951434027351,True
0,SAT-3,552.5254302583518,0.004870171148079656,0.030450052178558906,True
1,SAT-1,513.028303838771,0.005736469086616316,0.02948777944952238,True
1,SAT-2,271.5345531893448,0.008431670804685976,0.02100271493382231,True
1,SAT-3,479.06761833797395,0.016802876667910756,0.03898193307244659,True
2,SAT-1,612.099343599947,0.007425498603402772,0.035763431177474395,True
2,SAT-2,393.4009928673538,0.010935797815098196,0.02914880674414235,True
2,SAT-3,381.5687344390161,0.008994857962937405,0.026660077149928893,True
3,SAT-1,169.62907839521264,0.015178424940644735,0.023031623014497172,True
3,SAT-2,255.56185226212605,0.008598801331966643,0.020430368566324332,True
3,SAT-3,390.5901085247212,0.006794460935680924,0.024877336330343943,True
4,SAT-1,755.910264968202,0.005255981040719635,0.04025182664109936,True
4,SAT-2,211.06007346550828,0.007188079643588213,0.016959379341065447,True
4,SAT-3,301.5199826254945,0.010946269864355498,0.024905528319239503,True
5,SAT-1,342.0830035643372,0.006157864646019394,0.02199504073696093,True
5,SAT-2,262.410819229311,0.006710767099168324,0.018859416137562354,True
5,SAT-3,449.0627492326004,0.005415716150590318,0.02620565824469219,True
6,SAT-1,531.1100008229424,0.0023632181414180984,0.026951644105443213,True
6,SAT-2,555.2621928313281,0.013027748832622112,0.03873433183407249,True
6,SAT-3,258.40973242046897,0.008077031175542192,0.020040444713526867,True
7,SAT-1,432.3503514378363,0.003976996462128359,0.023993216436102263,True
7,SAT-2,383.99504846562644,0.013315790568602437,0.031093339108677735,True
7,SAT-3,373.2491491512664,0.009910398785291614,0.027190451986739132,True
8,SAT-1,209.26098201374455,0.006668094111591794,0.01635610253815404,True
8,SAT-2,372.1306811826723,0.006845455829581326,0.02407372810655689,True
8,SAT-3,545.766525992501,0.004740564540374587,0.030007533336323708,True
9,SAT-1,458.5884471903053,0.01222477619663473,0.033455722825815534,True
9,SAT-2,388.1323867453999,0.012568384663683986,0.030537476642637687,True
9,SAT-3,100.00543534936472,0.00997183344808838,0.014601714714262672,True
10,SAT-1,315.76917428649796,0.007619372305988639,0.022238315559993175,True
10,SAT-2,229.0378337991116,0.009001234377319048,0.019604837793944584,True
10,SAT-3,666.7732136213831,0.00997822934295473,0.040847359603203945,True
11,SAT-1,449.1376986066452,0.011198397687058942,0.03199180965958881,True
11,SAT-2,364.205037055102,0.008280081880935063,0.025141426189041638,True
11,SAT-3,337.1673892630765,0.011805550029829522,0.027415151384601582,True
12,SAT-1,245.9881673646978,0.008482148688219357,0.01987048976991833,True
12,SAT-2,201.86893803860247,0.010359071557453522,0.01970485572590734,True
12,SAT-3,295.93041649411526,0.009633466184195017,0.023333948429292945,True
13,SAT-1,344.4594851176091,0.005998057050875315,0.02194525543594981,True
13,SAT-2,519.6557682288235,0.011193249309232238,0.035251386727233325,True
13,SAT-3,604.3737837833132,0.007125178325407727,0.03510544609315371,True
14,SAT-1,175.71112382004992,0.014667088229823953,0.02280186248075219,True
14,SAT-2,231.9331483548337,0.006235082019880614,0.016972727777048842,True
14,SAT-3,171.0830214561437,0.0038181649976311914,0.011738675250230438,True
15,SAT-1,255.07998381198138,0.002366825839450267,0.01417608434926422,True
15,SAT-2,436.299670713525,0.006482787771637283,0.026681846600967143,True
15,SAT-3,350.34045190333916,0.0062758548370247325,0.022495320202920062,True
16,SAT-1,87.8768175613313,0.012261156881451863,0.016329528064846832,True
16,SAT-2,487.9739624775258,0.004188858814014091,0.026780245965751397,True
16,SAT-3,530.8841489408009,0.006888287964546437,0.03146625782291685,True
17,SAT-1,368.166283711129,0.009608437078387757,0.026653172435384467,True
17,SAT-2,771.6484016798768,0.0030708443577061,0.038795307398441135,True
17,SAT-3,228.83022883928373,0.006748591794202447,0.017342583870095213,True
18,SAT-1,113.30094867973594,0.011047576098084133,0.01629299038881265,True
18,SAT-2,425.9366315172846,0.011773963553196286,0.03149325204936687,True
18,SAT-3,295.6803522420936,0.009626806573172718,0.02331571176956594,True
19,SAT-1,338.9664141406979,0.006264085824961621,0.021956975368512446,True
19,SAT-2,850.331559628988,0.005953653614713816,0.045320855449389186,True
19,SAT-3,175.83056159220564,0.004099902783847256,0.012240206561264184,True
20,SAT-1,588.9606482698227,0.004517886230684944,0.0317845829098434,True
20,SAT-2,403.8783789792846,0.0022326246378060453,0.020930697738698854,True
20,SAT-3,576.3769665399253,0.0076413767730291356,0.03432549559432198,True
21,SAT-1,214.28912498445086,0.005048155345112678,0.014968948168466886,True
21,SAT-2,494.46980974394194,0.0069984101179924665,0.02989053093947126,True
21,SAT-3,118.79974513354932,0.010594303622923573,0.016094291823550856,True
22,SAT-1,395.6324698337583,0.006584415840040763,0.024900733887899942,True
22,SAT-2,273.0814435565368,0.002450430387394471,0.01509308981130821,True
22,SAT-3,436.6984627432332,0.0060932361117865975,0.026310757535084432,True
23,SAT-1,201.29653017375068,0.0042582019859573,0.013577485790297609,True
23,SAT-2,134.73930169344152,0.01003289414184529,0.016270824775800916,True
23,SAT-3,409.1050698007895,0.006462394325893133,0.025402443853707463,True
24,SAT-1,770.5028197700625,0.0030532318262961383,0.038724658667502736,True
24,SAT-2,467.83451369167443,0.010054876370498785,0.03171388163400223,True
24,SAT-3,121.62627333031968,0.009104320690241863,0.014735166677756662,True
25,SAT-1,341.94396106061146,0.00581590565367816,0.021646644591669432,True
25,SAT-2,518.9745726376927,0.006137886465401394,0.03016448705047976,True
25,SAT-3,732.5036278322331,0.009866124663195716,0.04377832965542873,True
26,SAT-1,201.90235468086115,0.00348928287045217,0.012836614105677224,True
