window_index,start,end,duration_s
0,2026-03-20T21:00:10Z,2026-03-20T21:07:10Z,420.0
1,2026-03-21T06:02:10Z,2026-03-21T06:07:10Z,300.0
2,2026-03-21T07:34:10Z,2026-03-21T07:43:10Z,540.0
3,2026-03-21T19:11:10Z,2026-03-21T19:20:10Z,540.0
