time_iso,FSAT-DP1,FSAT-DP2,FSAT-LDR
2026-03-21T08:28:25Z,-18898.971364,-18899.269421,-18898.953669
2026-03-21T08:29:25Z,-18675.466909,-18678.592924,-18676.743782
2026-03-21T08:30:25Z,-18372.206937,-18379.102192,-18375.302455
2026-03-21T08:31:25Z,-18025.111637,-18035.923553,-18030.129343
2026-03-21T08:32:25Z,-17653.420919,-17668.015567,-17660.309141
2026-03-21T08:33:25Z,-17267.178586,-17285.327557,-17275.831053
2026-03-21T08:34:25Z,-16871.861165,-16893.300747,-16882.150246
2026-03-21T08:35:25Z,-16470.634002,-16495.083832,-16482.421791
2026-03-21T08:36:25Z,-16065.432705,-16092.601890,-16078.574961
2026-03-21T08:37:25Z,-15657.502261,-15687.091616,-15671.849992
2026-03-21T08:38:25Z,-15247.680051,-15279.383204,-15263.080327
2026-03-21T08:39:25Z,-14836.552225,-14870.056471,-14852.848763
2026-03-21T08:40:25Z,-14424.544285,-14459.531468,-14441.577988
2026-03-21T08:41:25Z,-14011.975799,-14048.123295,-14029.585310
2026-03-21T08:42:25Z,-13599.094780,-13636.076590,-13617.117075
2026-03-21T08:43:25Z,-13186.100050,-13223.587995,-13204.371064
2026-03-21T08:44:25Z,-12773.156295,-12810.821288,-12791.511579
2026-03-21T08:45:25Z,-12360.404560,-12397.917944,-12378.679966
2026-03-21T08:46:25Z,-11947.969847,-11985.004782,-11966.002225
2026-03-21T08:47:25Z,-11535.966842,-11572.199736,-11553.594762
2026-03-21T08:48:25Z,-11124.504465,-11159.616432,-11141.568948
2026-03-21T08:49:25Z,-10713.689700,-10747.368049,-10730.034953
2026-03-21T08:50:25Z,-10303.631034,-10335.570782,-10319.105207
2026-03-21T08:51:25Z,-9894.441783,-9924.347195,-9908.897726
2026-03-21T08:52:25Z,-9486.243523,-9513.829691,-9499.539568
2026-03-21T08:53:25Z,-9079.169860,-9104.164321,-9091.170616
2026-03-21T08:54:25Z,-8673.370776,-8695.515210,-8683.947970
2026-03-21T08:55:25Z,-8269.017859,-8288.069884,-8278.051216
2026-03-21T08:56:25Z,-7866.310769,-7882.045894,-7873.688979
2026-03-21T08:57:25Z,-7465.485461,-7477.699274,-7471.107261
2026-03-21T08:58:25Z,-7066.824821,-7075.335522,-7070.600253
2026-03-21T08:59:25Z,-6670.672689,-6675.324151,-6672.524621
2026-03-21T09:00:25Z,-6277.452612,-6278.118224,-6277.318658
2026-03-21T09:01:25Z,-5887.693298,-5884.280989,-5885.528327
2026-03-21T09:02:25Z,-5502.063639,-5494.522696,-5497.843189
2026-03-21T09:03:25Z,-5121.421498,-5109.752109,-5115.146552
2026-03-21T09:04:25Z,-4746.882545,-4731.149547,-4738.586414
2026-03-21T09:05:25Z,-4379.918232,-4360.271334,-4369.676664
2026-03-21T09:06:25Z,-4022.496151,-3999.200132,-4010.442412
2026-03-21T09:07:25Z,-3677.280800,-3650.760898,-3663.628307
2026-03-21T09:08:25Z,-3347.916582,-3318.826151,-3332.992586
2026-03-21T09:09:25Z,-3039.410455,-3008.728448,-3023.704536
2026-03-21T09:10:25Z,-2758.600045,-2727.759876,-2742.828248
2026-03-21T09:11:25Z,-2514.591733,-2485.618198,-2499.765105
2026-03-21T09:12:25Z,-2318.823348,-2294.392988,-2306.279656
2026-03-21T09:13:25Z,-2184.078781,-2167.332537,-2175.393143
2026-03-21T09:14:25Z,-2121.778154,-2115.730464,-2118.473110
2026-03-21T09:15:25Z,2138.023250,2144.726307,2141.150428
2026-03-21T09:16:25Z,2230.863739,2250.889942,2240.734356
2026-03-21T09:17:25Z,2391.170004,2423.790293,2407.432470
2026-03-21T09:18:25Z,2606.311000,2650.094959,2628.249124
2026-03-21T09:19:25Z,2863.755509,2917.111066,2890.563922
