vehicle_id,min_abs_cross_track_km_mean,min_abs_cross_track_km_std,min_abs_cross_track_km_p95,min_abs_cross_track_km_min,min_abs_cross_track_km_max,max_abs_cross_track_km_mean,max_abs_cross_track_km_std,max_abs_cross_track_km_p95,max_abs_cross_track_km_min,max_abs_cross_track_km_max,plane_intersection_distance_km_mean,plane_intersection_distance_km_std,plane_intersection_distance_km_p95,plane_intersection_distance_km_min,plane_intersection_distance_km_max,relative_cross_track_km_mean,relative_cross_track_km_std,relative_cross_track_km_p95,relative_cross_track_km_min,relative_cross_track_km_max
FSAT-DP1,12.174635,0.211653,12.557723,11.707672,13.051924,2496.089390,0.068362,2496.206357,2495.896721,2496.286738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FSAT-DP2,20.731713,0.127318,20.962214,20.439648,21.275676,2479.644693,0.068455,2479.761940,2479.451896,2479.842289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FSAT-LDR,5.786013,0.421862,6.499115,4.821383,7.491032,2487.884265,0.068408,2488.001372,2487.691532,2488.081736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fleet_relative_max,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.199968,0.000000,0.199968,0.199967,0.199968
fleet_relative_min,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142851,0.000002,0.142855,0.142843,0.142857
